law text,token length
PL111-203,588994
PL115-174,50801
PL116-283,541542
PL111-022,49263
PL110-343,121312
PL110-289,181621
PL109-351,31963
PL108-159,41075
PL100-108,12111
PL107-204,46311
PL107-056,92947
PL106-102,98047
PL105-310,5390
PL104-208,524178
PL103-328,29809
PL103-325,92988
PL103-204,31812
PL102-550-4044,1389
PL102-550-3672,292719
PL102-242-2334,6836
PL102-242,133117
PL101-647,126727
PL101-073,255469
PL100-086,79916
PL099-570-3207,16667
PL098-181-1278,4709
PL097-320,58161
PL095-630-3697,10131
PL096-221,47600
PL095-369,15185
PL095-109,6814
PL094-239,4556
PL094-240,3590
PL094-200,3624
PL093-495-1551,5641
PL093-234,7220
PL091-508,104539
PL091-507,16787
PL090-321,16064
PL090-284,17770
PL089-695,25444
PL084-511,11667
PL081-797,18786
PL074-305,33979
PL073-066,29212
PL063-0439,23659
CHPT-106,20945
